Task,Method,Sampler,Model,Batch,Seed,Size,r2,mae,rmse,rmse-rel,pearson,spearman
bace,hallucinate,none,none,none,5,100,0.5078,0.52578,0.70157,0.70157,0.72417,0.6562
qm9_gap,embedding,none,none,none,7,100,0.74224,0.38554,0.5077,0.5077,0.863,0.87787
qm9_u298,penultimate,none,none,none,5,100,0.50144,0.50925,0.70609,0.70609,0.71415,0.74431
polygas_He,hallucinate,none,none,none,2,100,0.72529,0.32929,0.52413,0.52413,0.85215,0.85355
qm9_cv,embedding,none,none,none,3,100,0.66444,0.4348,0.57928,0.57928,0.81932,0.82041
qm9_zpve,ensemble,none,none,none,3,100,0.86274,0.28689,0.37049,0.37049,0.93097,0.92219
qm9_zpve,ensemble,none,none,none,2,100,0.86896,0.27743,0.362,0.362,0.93443,0.92993
chain_gap,hallucinate,none,none,none,9,100,0.63553,0.44418,0.60371,0.60371,0.82132,0.84013
qm9_homo,penultimate,none,none,none,3,100,0.43892,0.55578,0.74905,0.74905,0.66914,0.64026
qm9_alpha,ensemble,none,none,none,3,100,0.47448,0.50732,0.72493,0.72493,0.69188,0.7119
qm9_u0,ensemble,none,none,none,8,100,0.51242,0.52195,0.69827,0.69827,0.72449,0.72345
qm9_homo,penultimate,none,none,none,9,100,0.53387,0.51304,0.68274,0.68274,0.73434,0.69396
qm9_u0,ensemble,none,none,none,9,100,0.51545,0.49401,0.6961,0.6961,0.71839,0.74297
qm9_alpha,ensemble,none,none,none,4,100,0.56516,0.48789,0.65943,0.65943,0.75257,0.74957
lipo,hallucinate,none,none,none,0,100,0.09744,0.73592,0.95003,0.95003,0.45173,0.428
qm9_u0,ensemble,none,none,none,7,100,0.47338,0.52294,0.72569,0.72569,0.68891,0.70528
qm9_alpha,ensemble,none,none,none,7,100,0.54831,0.50536,0.67208,0.67208,0.75228,0.77252
qm9_g298,penultimate,none,none,none,6,100,0.54895,0.49714,0.6716,0.6716,0.74566,0.75564
qm9_alpha,ensemble,none,none,none,9,100,0.58995,0.45983,0.64035,0.64035,0.77289,0.78643
qm9_homo,ensemble,none,none,none,5,100,0.49519,0.53756,0.7105,0.7105,0.71008,0.6556
qm9_cv,ensemble,none,none,none,2,100,0.66261,0.43925,0.58085,0.58085,0.81952,0.82278
qm9_homo,ensemble,none,none,none,9,100,0.54144,0.50055,0.67717,0.67717,0.73632,0.68711
qm9_homo,ensemble,none,none,none,0,100,0.52001,0.52087,0.69281,0.69281,0.72904,0.68857
qm9_homo,ensemble,none,none,none,2,100,0.463,0.55909,0.7328,0.7328,0.70305,0.62463
qm9_homo,ensemble,none,none,none,3,100,0.43584,0.57814,0.7511,0.7511,0.68169,0.58044
polygas_CH4,hallucinate,none,none,none,7,100,0.79895,0.27058,0.44838,0.44838,0.89555,0.89832
qm9_gap,ensemble,none,none,none,6,100,0.7207,0.40484,0.52848,0.52848,0.84949,0.85955
lipo,hallucinate,none,none,none,9,100,0.07086,0.76958,0.96392,0.96392,0.40619,0.38219
bace,hallucinate,none,none,none,0,100,0.50289,0.54221,0.70506,0.70506,0.71228,0.63322
qm9_g298,ensemble,none,none,none,0,100,0.48286,0.5293,0.71912,0.71912,0.69826,0.68879
qm9_h298,penultimate,none,none,none,8,100,0.50011,0.52785,0.70703,0.70703,0.73286,0.73835
polygas_N2,hallucinate,none,none,none,8,100,0.71551,0.35253,0.53337,0.53337,0.85593,0.87484
qm9_g298,ensemble,none,none,none,5,100,0.61316,0.46946,0.62196,0.62196,0.79329,0.79315
qm9_h298,ensemble,none,none,none,0,100,0.56466,0.46999,0.6598,0.6598,0.75602,0.7717
qm9_r2,penultimate,none,none,none,1,100,0.55586,0.49912,0.66644,0.66644,0.74964,0.71471
freesolv,hallucinate,none,none,none,1,100,0.73355,0.3684,0.51618,0.51618,0.87742,0.83683
qm9_u0,ensemble,none,none,none,5,100,0.61146,0.4717,0.62333,0.62333,0.78756,0.77153
qm9_u0,ensemble,none,none,none,1,100,0.59394,0.44025,0.63722,0.63722,0.77147,0.79726
pcqm4mv2_small,random,none,none,none,0,100,0.53317,0.51603,0.68325,0.68325,0.73169,0.71935
qm9_h298,ensemble,none,none,none,7,100,0.58723,0.47237,0.64247,0.64247,0.7809,0.78498
qm9_h298,embedding,none,none,none,5,100,0.51818,0.50877,0.69413,0.69413,0.72887,0.75185
qm9_h298,embedding,none,none,none,1,100,0.53558,0.49611,0.68148,0.68148,0.74426,0.77322
bace,hallucinate,none,none,none,8,100,0.41429,0.59622,0.76531,0.76531,0.65157,0.61682
qm9_h298,random,none,none,none,0,100,0.5393,0.47994,0.67875,0.67875,0.73743,0.74613
polymer_mt,hallucinate,none,none,none,7,100,0.35593,0.62687,0.80254,0.80254,0.60339,0.58882
