smiles,log10_H2_Bayesian
*C1CCCCC1*,4.964480725
*C=C(*)C(C)(C)C,2.772027844
*C=C(*)c1cc(C(F)(F)F)oc1C(F)(F)F,2.954876572
*C=C(*)c1cc(C(F)(F)F)sc1C(F)(F)F,2.813432795
*C=C(*)c1cccc(O[Si](C)(C)C(C)(C)C)c1,1.806179974
*C=CC1CC(*)C([Si](C)(C)C)C1,2.146128036
*C=CC1CC(*)C([Si](C)(C)C[Si](C)(C)C)C1,1.86332286
*C=CC1CCC(*)C1,1.322219295
*C=CCC*,2.1671066574999998
*C=CCCC*,2.618048097
*C=Cc1ccc(*)cc1[Si](C)(C)C(C)(C)C,1.6446626
*C=Cc1ccc(*)cc1[Si](C)(C)CCCC,1.377596534
*C=Cc1ccc(*)cc1[Si](C)(C)CCCCCCCC,1.826061369
*C=Cc1ccc(*)cc1[Si](C)(C)CCCCCCCCCCCCCCCCCCC,1.807792529
*C=Cc1ccc(*)cc1[Si](CC)(CC)CC,1.629213588
*CC(*)(C)C,1.4281838336666668
*CC(*)(C)C#N,-1.544148941
*CC(*)(C)C(=O)OC,0.56626770025
*CC(*)(C)C(=O)OCC,1.031234081
*CC(*)(C)C(=O)OCCCCCCOc1ccc(C(=O)Oc2ccc(OCCCCCC)cc2)cc1,2.85823682
*CC(*)(C)C(=O)OCCO,1.5525515724
*CC(*)(Cl)Cl,-0.7587033424285714
*CC(*)(F)F,0.0903421128
*CC(*)C,1.12912198884375
*CC(*)C#N,-1.853593502
*CC(*)C(=O)OC,1.025305865
*CC(*)C(=O)OCC,1.781036939
*CC(*)C(=O)OCCCCCCCCCC,1.967079734
*CC(*)C(=O)OCCCCCCCCCCCCCC,1.983175072
*CC(*)C(=O)OCCCCCCCCCCCCCCCCCC,2.053078443
*CC(*)C(=O)OCCCCCCCCCCCCCCCCCCCCCC,2.164352856
*CC(*)C(C)=O,0.679795236
*CC(*)CC(C)C,2.22534954
*CC(*)CCCC,5.008297532
*CC(*)Cl,0.3370722586
*CC(*)F,-0.568636236
*CC(*)N1CCCC1=O,-0.441994461
