,polymer_dD,polymer_dP,polymer_dH,solv_dD,solv_dP,solv_dH,Mw (Da),PDI,ϕ,P (MPa),target
509,18.3,3.6,3.03,16.8,0.19,0.95,400000.0,1.06,0.053,0.1,26.22
510,18.3,3.6,3.03,16.06,0.22,0.47,37000.0,1.06,0.06847,0.1,34.96
511,17.2,3.53,1.84,16.43,15.41,6.15,85200.0,1.02,0.1844,1.67,37.36
512,18.3,3.6,3.03,16.8,0.19,0.95,280000.0,4.83,0.10283,0.1,24.1
513,18.3,3.6,3.03,16.08,15.6,4.73,13500.0,1.06,0.2634,5.56,4.93
514,18.3,3.6,3.03,16.06,0.22,0.47,405000.0,2.83,0.05069,24.3,49.35
515,15.6,7.41,4.86,16.05,5.63,3.84,48600.0,1.05,0.2438,0.1,31.97
516,18.3,3.6,3.03,15.26,14.41,5.54,25000.0,1.06,0.13391,4.59,163.83
517,18.3,3.6,3.03,16.8,0.19,0.95,200000.0,1.02,0.0457,0.1,23.79
518,18.3,3.6,3.03,14.88,12.73,8.02,4140.0,1.03,0.14593,0.52,48.92
519,18.3,3.6,3.03,16.06,0.22,0.47,405000.0,2.83,0.03563,35.48,47.37
520,18.3,3.6,3.03,17.49,0.16,0.04,270000.0,2.0,0.042,50.0,10.05
521,17.5,2.82,2.73,15.7,4.47,6.46,61400.0,1.05,0.18671,0.1,-14.4
522,14.0,6.51,6.76,15.11,15.72,38.81,15481.0,1.27,0.0493,0.1,116.1
523,18.3,3.6,3.03,16.8,0.19,0.95,346000.0,1.65,0.10936,0.1,26.8
524,18.3,3.6,3.03,16.8,0.19,0.95,423300.0,1.24,0.14995,0.1,23.79
525,18.3,3.6,3.03,16.06,0.22,0.47,405000.0,2.83,0.04449,3.44,57.76
526,18.3,3.6,3.03,16.06,0.22,0.47,31600.0,1.09,0.08248,5.05,29.91
