,DP,2-(diethylamino)ethyl methacrylate,2-hydroxypropyl methacrylate,2-sulfopropyl methacrylate,butyl methacrylate,3-(dimethylamino)propyl methacrylate,methyl methacrylate,poly(ethylene glycol) methyl ether methacrylate,trimethylammonium chloride ethyl methacrylate,target
206,50.0,0.0,0.0,0.7,0.0,0.0,0.0,0.3,0.0,10.256711959838867
207,50.0,0.0,0.0,0.8,0.0,0.0,0.0,0.2,0.0,8.201698303222656
208,50.0,0.0,0.0,0.9,0.0,0.0,0.0,0.1,0.0,6.733601093292236
209,50.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.9,-1.3787426948547363
210,50.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.8,150.03199768066406
211,50.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.7,262.6993713378906
212,50.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.6,286.58233642578125
213,50.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,242.33566284179688
214,50.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.4,198.0639495849609
215,50.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.3,160.90757751464844
216,50.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.2,82.46735382080078
217,50.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.1,25.72282218933105
218,50.0,0.0,0.0,0.0,0.1,0.9,0.0,0.0,0.0,-9.28331184387207
219,50.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,-6.815352916717529
220,50.0,0.0,0.0,0.0,0.3,0.7,0.0,0.0,0.0,-3.855122566223145
221,50.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0,2.7020668983459477
222,50.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,10.736250877380373
223,50.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,9.370306015014648
224,50.0,0.0,0.0,0.0,0.7,0.3,0.0,0.0,0.0,10.630239486694336
225,50.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,2.9901201725006104
226,50.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,-0.457800030708313
227,50.0,0.0,0.0,0.0,0.1,0.0,0.9,0.0,0.0,18.41353225708008
228,50.0,0.0,0.0,0.0,0.2,0.0,0.8,0.0,0.0,26.628705978393555
229,50.0,0.0,0.0,0.0,0.3,0.0,0.7,0.0,0.0,9.950966835021973
230,50.0,0.0,0.0,0.0,0.4,0.0,0.6,0.0,0.0,3.99113130569458
231,50.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.6761192083358765
232,50.0,0.0,0.0,0.0,0.6,0.0,0.4,0.0,0.0,0.2568446397781372
233,50.0,0.0,0.0,0.0,0.7,0.0,0.3,0.0,0.0,0.8877172470092773
234,50.0,0.0,0.0,0.0,0.8,0.0,0.2,0.0,0.0,1.1875057220458984
235,50.0,0.0,0.0,0.0,0.9,0.0,0.1,0.0,0.0,-0.4398640394210815
236,50.0,0.0,0.0,0.0,0.1,0.0,0.0,0.9,0.0,42.84356689453125
237,50.0,0.0,0.0,0.0,0.2,0.0,0.0,0.8,0.0,-0.5014115571975708
238,50.0,0.0,0.0,0.0,0.3,0.0,0.0,0.7,0.0,-0.1811097860336303
239,50.0,0.0,0.0,0.0,0.4,0.0,0.0,0.6,0.0,-0.1221175193786621
240,50.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.2685637474060058
241,50.0,0.0,0.0,0.0,0.6,0.0,0.0,0.4,0.0,0.2171157598495483
242,50.0,0.0,0.0,0.0,0.7,0.0,0.0,0.3,0.0,0.0503174066543579
243,50.0,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,-0.9976290464401244
244,50.0,0.0,0.0,0.0,0.9,0.0,0.0,0.1,0.0,-1.5364329814910889
245,50.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.9,-3.6750564575195312
246,50.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.8,-2.4061756134033203
247,50.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.7,-0.3616987466812134
248,50.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.6,1.7741129398345947
249,50.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,13.81098461151123
250,50.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.4,25.04265785217285
251,50.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.3,38.27611923217773
252,50.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.2,29.448266983032227
253,50.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.1,24.05815315246582
254,50.0,0.0,0.0,0.0,0.0,0.1,0.9,0.0,0.0,10.341113090515137
255,50.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,1.2337193489074707
256,50.0,0.0,0.0,0.0,0.0,0.3,0.7,0.0,0.0,-0.5475621223449707
257,50.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,-0.3320533037185669
258,50.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.4834104776382446
259,50.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,1.540708065032959
260,50.0,0.0,0.0,0.0,0.0,0.7,0.3,0.0,0.0,2.240501165390014
261,50.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,-4.220699310302734
262,50.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,-8.548564910888672
263,50.0,0.0,0.0,0.0,0.0,0.1,0.0,0.9,0.0,57.19249725341797
